hieght,weight
195,30
178.176382,74.88877008
171.0875625,73.96464727
176.493328,74.60568614
175.5521176,75.64314242
172.7350174,73.87753508
174.2489966,73.85655044
175.593443,75.62834358
181.1979653,75.62759197
179.7968056,76.14566096
172.6619272,74.27341291
180.2566416,76.13417252
176.256437,72.75413283
174.8907858,75.42782857
176.237971,76.980978
174.6449884,75.93587518
174.7849757,75.83627969
177.5802319,75.20051343
177.4405193,75.58004569
177.4546493,75.64295935
176.1630672,75.28613369
172.9085713,73.8563155
176.2422938,74.86979317
177.8236503,75.30327403
175.8467888,74.68094086
176.7921409,76.0999003
176.259002,77.64011813
174.4744249,73.64540807
175.5090003,75.20770983
173.6363862,73.39175813
176.5387464,76.5035144
173.0132163,76.01875687
173.1486621,73.09967997
173.5979071,76.62725406
169.9003502,73.11153867
177.4913477,75.63238726
175.5632465,76.14601903
173.6924258,74.92299347
177.3734267,77.5935038
172.0355666,77.1413013
174.8229109,75.10291429
174.5818015,73.10442336
175.5528823,74.74269286
175.541887,74.27831098
173.501984,74.01813507
174.9479496,73.91163935
174.7144212,75.02726369
176.0872209,77.19814782
176.8935917,74.63022691
176.9213177,75.05164632
173.5041094,75.8674997
175.1339899,76.18351975
172.8970876,75.1143847
173.0713601,75.66089602
174.9881366,75.83167947
177.6545936,75.07692692
173.6668995,75.1884504
175.643247,74.82081216
174.6092764,74.07332088
176.9353176,75.93027544
173.1136853,74.75019611
175.0563912,74.83024425
175.9570049,75.43880859
176.9063128,76.26336448
177.6746535,75.82198179
175.1488371,75.21107494
172.4164898,74.83728867
173.7142955,74.83475563
173.1612865,73.95205277
179.0711113,76.43180469
173.9337463,76.17121675
176.295707,74.7045907
174.6667214,76.79014174
176.5391184,75.08777555
173.6752423,74.54583384
172.5711989,73.73581261
172.5363726,73.83079065
175.8455767,74.22852564
174.6927772,75.28763488
174.6604254,76.47244053
177.4583173,75.91473387
175.505039,75.9020096
175.3426188,76.34182337
177.7499755,73.06520817
173.6066241,74.60734484
176.2065889,75.53908458
176.4464151,75.92778735
174.577873,73.68034517
175.3735515,74.09921239
172.9806991,75.42047163
173.0116875,74.55700603
175.1816483,75.55981797
176.2509807,74.2887494
179.4782022,74.18212033
173.8449115,75.53627903
175.3244669,76.19658242
174.8571155,76.53876173
171.6519061,72.97502449
174.2396883,73.59334266
171.8915251,73.07082025
176.4555731,75.20270616
173.4618833,74.15434381
175.1733659,76.28710175
174.0568482,73.44968785
175.5257134,73.41944653
173.9602039,75.02326492
175.8486448,76.28358471
176.2806145,74.44479115
177.9650766,74.28242482
174.6637682,74.80098748
171.29626,72.81593159
173.5457896,74.77423755
177.3462262,76.18415812
173.1429726,74.89896402
176.6644209,73.44944066
175.2148606,74.52184233
177.4884315,75.12556468
171.6036216,76.17030962
174.6575766,75.81883331
172.9079503,74.59667442
180.0368177,77.09308836
176.4293211,74.23796175
177.3884495,75.06463484
173.167178,76.04695402
174.188334,76.30314448
174.5280691,75.62062663
176.9025272,75.7869474
