height,weight,sex
177.119835,78.03586169,m
176.5042622,72.89436023,m
175.5853415,69.50816946,m
177.620079,75.13774551,m
179.8438628,82.77265585,m
177.8096859,80.58120844,m
176.9675279,76.62336448,m
175.8076793,76.93112052,m
171.5557312,75.78123885,m
174.5400873,74.21710106,m
172.0233569,71.1186613,m
173.6158012,73.91158012,m
176.4126215,80.58374805,m
178.8857979,79.80231391,m
169.3530165,74.41578306,m
172.3381933,71.42361957,m
175.6041418,79.97065227,m
180.3935077,75.25271888,m
170.2137579,68.75367672,m
174.9474045,74.21816704,m
174.7581915,69.29921068,m
178.3727015,76.09818688,m
175.6597247,74.3858393,m
173.595727,67.04385091,m
171.7726508,71.45381894,m
173.3403286,78.24188604,m
177.9386905,73.62320354,m
176.5947858,81.68210171,m
174.2697959,71.11836808,m
171.3860232,71.66750359,m
177.9986364,75.79910074,m
173.9075124,75.61105476,m
176.3282844,72.52258155,m
176.4248625,74.74893864,m
177.1695148,75.60425062,m
174.8984962,78.28013326,m
179.6072489,71.26327273,m
175.1676378,78.03446232,m
176.9690884,75.37186737,m
175.0188468,78.30605385,m
171.5537771,71.87499573,m
173.301941,72.27618276,m
174.1531982,67.89569764,m
176.2170303,84.47904391,m
172.9171621,71.08296439,m
175.094343,81.78975672,m
177.922582,76.93436288,m
174.0072916,73.93461578,m
174.5009263,77.57053024,m
174.9390595,74.30669347,m
178.339453,75.75741098,m
178.2740964,74.25258582,m
174.7953714,80.00490149,m
172.0987376,72.00491659,m
176.3939597,67.16985466,m
177.7367949,78.60226169,m
172.6919708,73.38516514,m
172.2942602,69.83381366,m
175.2452309,76.85679847,m
175.0438626,74.30837722,m
175.4736793,69.06677621,m
173.0415407,72.81420061,m
176.1493951,74.47798258,m
174.7588595,73.71802302,m
174.1329968,71.11980058,m
178.3392183,79.58489806,m
180.805496,79.33998039,m
175.4609747,73.2547797,m
175.0431051,78.00530266,m
173.9972369,72.59474575,m
173.4507353,71.76738366,m
171.1939395,73.89182875,m
174.6513023,66.70546335,m
175.8572888,72.45188459,m
173.4953435,69.37413156,m
174.970437,74.35032563,m
174.3904717,76.33174207,m
173.9197501,72.74054429,m
176.3559245,69.99641217,m
169.1057681,71.99487207,m
177.1894922,76.84545326,m
178.2868361,73.86268529,m
174.042193,69.29916679,m
177.1487075,80.43881784,m
173.6430788,71.86370548,m
173.882297,74.55786038,m
173.3092122,72.95103251,m
173.5333118,74.56542736,m
170.8574023,73.96805757,m
175.4067616,73.46881834,m
179.5735116,73.70279161,m
174.6958672,76.23135035,m
175.0940566,81.86992517,m
177.2052273,75.06762939,m
177.3302595,74.62348024,m
173.6596507,76.48160062,m
173.5348496,75.65933474,m
178.3288962,69.79018468,m
175.5612452,76.04913414,m
